DeviceId,What Hour,Computation Range,Predicted Water Consumtion,Mean Absolout Error,r2_score
57976098,1,3,0.9990212715016848,0.24156424060506043,
57976098,2,3,0.9125106204483735,0.19126610016398526,
57976098,3,3,0.8378475416848887,0.16117372981679612,
57976098,4,3,0.771513905111076,0.14099671533729752,
57976098,5,3,0.7113550156212374,0.12649252606365136,
57976098,6,3,0.6559488554645432,0.1155650496465328,
57976098,7,3,0.3824016896283448,0.32895332599289256,
57976098,1,4,0.9557659459750292,0.2848195661317161,
57976098,2,4,0.8751790810666311,0.22859763954572765,
57976098,3,4,0.8046807233979824,0.1943405481037025,
57976098,4,4,0.7414344603661567,0.17107616008221682,
57976098,5,4,0.6836519355428903,0.15419560614199845,
57976098,6,4,0.519175272546444,0.25233863256463196,
57976098,7,4,0.40282150879996137,0.308533506821276,
57976098,1,5,0.9184344065932868,0.3221511055134585,
57976098,2,5,0.8420122627797247,0.261764457832634,
57976098,3,5,0.774601278653063,0.2244199928486218,
57976098,4,5,0.7137313802878096,0.19877924016056392,
57976098,5,5,0.5499018535713751,0.2879456881135136,
57976098,6,5,0.519175272546444,0.25233863256463196,
57976098,7,5,0.42397325232858746,0.2873817632926499,
57976098,1,6,0.8420122627797247,0.3301688535798273,-23.297224340979014
57976098,2,6,0.774601278653063,0.27679771740395875,-27.927480286887658
57976098,3,6,0.7137313802878096,0.2420345656872196,-31.309462871801387
57976098,4,6,0.5499018535713751,0.325277227495256,-75.9198815731889
57976098,5,6,0.519175272546444,0.28550545085153833,-74.10050804792454
57976098,6,6,0.42397325232858746,0.3174612080375692,-111.38884453460746
57976098,7,6,0.4664130717173511,0.2172388638255392,-61.492044201612536
57976098,1,7,0.8119328180348054,0.3602482983247466,-27.735490727796332
57976098,2,7,0.746898198574716,0.30450079748230585,-33.797425068922564
57976098,3,7,0.5884235367868861,0.3673424091881431,-72.12120435907747
57976098,4,7,0.5432367221714258,0.3319423588952053,-79.06304828437597
57976098,5,7,0.519175272546444,0.28550545085153833,-74.10050804792454
57976098,6,7,0.4459932525457345,0.29544120782042216,-96.47227276740952
57976098,7,7,0.489469160664224,0.19418277487866625,-49.13209591213789
57976098,1,8,0.746898198574716,0.42528291778483607,-38.65341379351874
57976098,2,8,0.5884235367868861,0.4629754592701357,-78.130874889328
57976098,3,8,0.5432367221714258,0.41252922380360335,-90.95577314458755
57976098,4,8,0.519175272546444,0.3560038085201871,-90.94053208951549
57976098,5,8,0.4459932525457345,0.35868747085224784,-116.95661514590005
57976098,6,8,0.489469160664224,0.25196529970193265,-70.16844282836178
57976098,7,8,0.5349241925372734,0.14872774300561686,-28.822248619275882
57976098,1,9,0.6305877121414364,0.5415934042181156,-62.68717684206202
57976098,2,9,0.572127984583059,0.4792710114739628,-83.7276820885184
57976098,3,9,0.5432367221714258,0.41252922380360335,-90.95577314458755
57976098,4,9,0.519175272546444,0.3560038085201871,-90.94053208951549
57976098,5,9,0.46904934149260746,0.3356313819053749,-102.40413639170852
57976098,6,9,0.5137724490086474,0.2276620113575093,-57.28507773239186
57976098,7,9,0.4735518240998846,0.21010011144300567,-57.51702978955863
