DeviceId,What Hour,Computation Range,Predicted Water Consumtion,Mean Absolout Error,r2_score
57975954,1,3,0.9990212715016848,0.24156424060506043,
57975954,2,3,0.9125106204483735,0.19126610016398526,
57975954,3,3,0.8378475416848887,0.16117372981679612,
57975954,4,3,0.771513905111076,0.14099671533729752,
57975954,5,3,0.4655448150288301,0.3723027266560586,
57975954,6,3,0.5095848154631242,0.2619290896479518,
57975954,7,3,0.5556969933568701,0.09015217832803996,
57975954,1,4,0.9557659459750292,0.2848195661317161,
57975954,2,4,0.8751790810666311,0.22859763954572765,
57975954,3,4,0.8046807233979824,0.1943405481037025,
57975954,4,4,0.6185293600699531,0.29398126037842043,
57975954,5,4,0.48756481524597717,0.35028272643891156,
57975954,6,4,0.5326409044099971,0.23887300070107886,
57975954,7,4,0.6335260044890537,0.1679811894602236,
57975954,1,5,0.9184344065932868,0.3221511055134585,
57975954,2,5,0.8420122627797247,0.261764457832634,
57975954,3,5,0.6583020872749316,0.3407191842267533,
57975954,4,5,0.6155478452010101,0.29696277524736336,
57975954,5,5,0.5106209041928501,0.3272266374920386,
57975954,6,5,0.6104699155421808,0.1610439895688952,
57975954,7,5,0.6335260044890537,0.1679811894602236,
57975954,1,6,0.8420122627797247,0.3301688535798273,-23.297224340979014
57975954,2,6,0.6583020872749316,0.39309690878209025,-56.32562278956763
57975954,3,6,0.6155478452010101,0.34021810077401904,-61.8636673957746
57975954,4,6,0.5106209041928501,0.364558176873781,-95.36343591933448
57975954,5,6,0.6104699155421808,0.19421080785580158,-34.28776418268994
57975954,6,6,0.6335260044890537,0.15298454504112294,-0.009609329153081658
57975954,7,6,0.657829292833477,0.17026447758749988,-59.78792245754427
57975954,1,7,0.7053009923873641,0.4668801239721879,-46.58464060212438
57975954,2,7,0.6461227693219798,0.40527622673504204,-59.869964848607786
57975954,3,7,0.6155478452010101,0.34021810077401904,-61.8636673957746
57975954,4,7,0.5884499153250338,0.28672916574159735,-58.9918403562762
57975954,5,7,0.6104699155421808,0.19421080785580158,-34.28776418268994
57975954,6,7,0.6335260044890537,0.15298454504112294,-0.009609329153081658
57975954,7,7,0.5911896913392201,0.10362487609324292,-22.1459038838345
57975954,1,8,0.6461227693219798,0.5260583470375723,-59.14251793049392
57975954,2,8,0.6155478452010101,0.43585115085601167,-69.24415809037546
57975954,3,8,0.5884499153250338,0.3673160306499954,-72.11084680935737
57975954,4,8,0.6104699155421808,0.26470916552445034,-50.27894550460107
57975954,5,8,0.6335260044890537,0.17115471890892864,-26.629936594341544
57975954,6,8,0.5911896913392201,0.15298454504112294,-0.03193679844253694
57975954,7,8,0.5391171634917017,0.05155234824572455,-5.4810311104192015
57975954,1,9,0.6461227693219798,0.5260583470375723,-59.14251793049392
57975954,2,9,0.6155478452010101,0.43585115085601167,-69.24415809037546
57975954,3,9,0.5884499153250338,0.3673160306499954,-72.11084680935737
57975954,4,9,0.6104699155421808,0.26470916552445034,-50.27894550460107
57975954,5,9,0.5911896913392201,0.2134910320587623,-41.43350283770211
57975954,6,9,0.5818433051792626,0.15298454504112294,-0.05750517169322955
57975954,7,9,0.5300541069023019,0.042489291656324785,-3.72326839742344
