Computation Range,DeviceId,Mean Absolout Error,Predicted Water Consumtion,What Hour,r2_score
6,57975970,0.18480305981089276,0.672900290194064,5,-0.0040199614766074365
6,57222610,0.12359559141717012,-0.2433817653428645,1,-51.19702640959441
6,57976038,0.3285855886869128,0.8501436020687081,1,-23.261975566068227
6,57976055,0.3434597401585021,0.7831287795528789,2,-8.15543502152438
6,57976056,0.3285855886869128,0.8501436020687081,1,-23.261975566068227
6,57975957,0.3285855886869128,0.8501436020687081,1,-23.261975566068227
6,57976052,0.3285855886869128,0.8501436020687081,1,-23.261975566068227
6,57975969,0.4353428889548622,0.8420122627797247,1,-6.290300491517675
6,57975961,0.3434597401585021,0.7831287795528789,2,-8.15543502152438
6,57976050,0.3285855886869128,0.8501436020687081,1,-23.261975566068227
6,57975959,0.3301688535798273,0.8420122627797247,1,-23.297224340979014
6,57222616,0.12359559141717012,-0.2433817653428645,1,-51.19702640959441
6,57975948,0.18270297120929221,0.5498609671679509,7,-0.0045268740518509265
6,57976035,0.19299977355225093,0.5983257197419861,6,-0.0034158026150310494
6,57222613,0.12359559141717012,-0.2433817653428645,1,-51.19702640959441
6,57975958,0.3285855886869128,0.8501436020687081,1,-23.261975566068227
9,57976041,0.1631126041684793,0.5444492550508178,7,-0.006071253985127312
7,57222614,0.019276987609973262,-0.32134704991750096,6,-0.012742529927530777
6,57975940,0.3285855886869128,0.8501436020687081,1,-23.261975566068227
6,57976032,0.11197911394784363,0.4305301583614655,7,-0.21439466280840636
6,57975942,0.22597007551614193,0.6254847235107334,5,-0.0005856554856218388
6,57975952,0.3301688535798273,0.8420122627797247,1,-23.297224340979014
6,57975933,0.3285855886869128,0.8501436020687081,1,-23.261975566068227
6,57975946,0.3285855886869128,0.8501436020687081,1,-23.261975566068227
6,57976048,0.3285855886869128,0.8501436020687081,1,-23.261975566068227
8,57976093,0.24831063768578626,0.7975312705568839,7,-0.06801650333271336
6,57975931,0.3285855886869128,0.8501436020687081,1,-23.261975566068227
9,57976046,0.06285747134766262,0.7609155278814397,2,-0.1248850528685499
6,57976096,0.27644491764267287,0.8501436020687081,1,-5.28339009574314
6,57975947,0.4503761485261869,0.774601278653063,2,-3.972852221285873
6,57975967,0.15183275784700176,0.6430131208102925,6,-0.009501803982265855
6,57975949,0.21612459235339565,0.5670041871994832,6,-11.82209818945775
6,57961515,0.14405684382482972,0.5827668354638337,7,-0.011530225541493966
6,57975982,0.26461524824275395,0.9184344065932868,1,-0.04727673150934186
9,57976091,0.1631126041684793,0.5444492550508178,7,-0.006071253985127312
6,57975954,0.15298454504112294,0.6335260044890537,6,-0.009609329153081658
6,57976053,0.19299977355225093,0.5983257197419861,6,-0.0034158026150310494
6,57975962,0.43338629364490633,0.8501436020687081,1,-6.280822226344066
7,57222618,0.019276987609973262,-0.32134704991750096,6,-0.012742529927530777
6,57976037,0.3285855886869128,0.8501436020687081,1,-23.261975566068227
6,57222609,0.12359559141717012,-0.2433817653428645,1,-51.19702640959441
6,57976057,0.3285855886869128,0.8501436020687081,1,-23.261975566068227
9,57975950,0.32225475716487606,0.45559707027293755,5,-0.034661055326414836
6,57975938,0.3285855886869128,0.8501436020687081,1,-23.261975566068227
6,57975934,0.43338629364490633,0.8501436020687081,1,-6.280822226344066
6,57976059,0.3285855886869128,0.8501436020687081,1,-23.261975566068227
6,57976099,0.43338629364490633,0.8501436020687081,1,-6.280822226344066
6,57975944,0.3285855886869128,0.8501436020687081,1,-23.261975566068227
6,58462055,0.26329290790808585,0.9261530831509577,1,-0.047545991972749
6,57976092,0.3285855886869128,0.8501436020687081,1,-23.261975566068227
6,57975951,0.3285855886869128,0.8501436020687081,1,-23.261975566068227
9,57976044,0.37716802262972127,0.13772356136379335,7,-0.2965141360890029
6,57976054,0.3285855886869128,0.8501436020687081,1,-23.261975566068227
6,57975955,0.2234829027097717,0.6967722675208794,4,-0.0012008914268792914
6,57975963,0.15183275784700176,0.6430131208102925,6,-0.009501803982265855
7,57222617,0.019276987609973262,-0.32134704991750096,6,-0.012742529927530777
6,57222615,0.01927698760997329,0.3294414211919833,4,-0.09425841079801134
6,57975953,0.33180429912273945,0.8336714681224802,1,-23.333912150035953
6,57975964,0.4273251408884934,0.9184344065932868,1,-16.50820350460411
8,57976042,0.037331539381742385,0.8948508220759005,1,-0.277673093570028
6,57976095,0.3301688535798273,0.8420122627797247,1,-23.297224340979014
6,57976051,0.3301688535798273,0.8420122627797247,1,-23.297224340979014
6,57976036,0.3301688535798273,0.8420122627797247,1,-23.297224340979014
6,58462051,0.3301688535798273,0.8420122627797247,1,-23.297224340979014
6,57975936,0.17413628856974903,0.6104699155421808,6,-0.005652665184983086
6,57976033,0.12290510029620363,0.6058229244107066,7,-0.019980680829937203
6,57975937,0.12670774278846975,0.5569441927544205,7,-20.919446710185507
6,57976049,0.3301688535798273,0.8420122627797247,1,-23.297224340979014
6,57976047,0.3301688535798273,0.8420122627797247,1,-23.297224340979014
6,57975956,0.3301688535798273,0.8420122627797247,1,-23.297224340979014
6,57976098,0.3301688535798273,0.8420122627797247,1,-23.297224340979014
6,57976045,0.3920875634282065,0.8852675883063804,1,-5.102401351949022
