DeviceId,What Hour,Computation Range,Predicted Water Consumtion,Mean Absolout Error,r2_score
57222612,3,3,-0.03054465,0.47898364,
57222612,4,3,-0.031303357,0.7382375,
57222612,5,3,-0.030704055,0.7959816,
57222612,6,3,-0.028750695,0.9382371,
57222612,3,4,-0.026680857,0.68703717,
57222612,4,4,-0.024760509,0.6558046,
57222612,5,4,-0.0215943,0.99185973,
57222612,6,4,-0.017635515,0.7551076,
57222612,3,5,-0.014381498,0.64305174,
57222612,4,5,-0.010964964,0.8382373,
57222612,5,5,-0.0067684827,0.835003,
57222612,6,5,-0.0031687168,0.93880403,
57222612,3,6,0.00047762168,0.83823735,-5.462791076501183
57222612,4,6,0.004760519,0.82928413,-23.55145024522535
57222612,5,6,0.008398984,0.93880403,-0.19706914208877468
57222612,3,7,0.0120225195,0.74236333,-5.580986584178012
57222612,4,7,0.015480086,0.9635107,-24.546729627776486
57222612,3,8,0.018477062,0.87194854,-5.647618962208016
