DeviceId,What Hour,Computation Range,Predicted Water Consumtion,Mean Absolout Error,r2_score
57975948,1,3,1.006319915401374,0.450138618536001,
57975948,2,3,0.9202415571646568,0.3266155668567311,
57975948,3,3,0.8459862509005415,0.16033366450083253,
57975948,4,3,0.7800456469727595,0.14019591019189737,
57975948,5,3,0.7202713082052162,0.12571494269532524,
57975948,6,3,0.3548653657866318,0.42518028118612766,
57975948,7,3,0.3940460998682576,0.3262252083369586,
57975948,1,4,0.9632807362830154,0.49317779765435965,
57975948,2,4,0.8831139040325992,0.3637432199887888,
57975948,3,4,0.8130159489366504,0.1933039664647236,
57975948,4,4,0.7501584775889878,0.17008307957566904,
57975948,5,4,0.5375683369959241,0.30841791390461737,
57975948,6,4,0.3744557328274447,0.40558991414531476,
57975948,7,4,0.414261215828489,0.3060100923767272,
57975948,1,5,0.9261530831509577,0.5303054507864173,
57975948,2,5,0.8501436020687081,0.39671352195267984,
57975948,3,5,0.7831287795528789,0.22319113584849515,
57975948,4,5,0.5850607736548692,0.33518078350978764,
57975948,5,5,0.5230609246200353,0.3229253262805062,
57975948,6,5,0.3946708487876761,0.38537479818508336,
57975948,7,5,0.4352131155735068,0.28505819263170945,
57975948,1,6,0.8501436020687081,0.5015142269106734,-22.900138402154948
57975948,2,6,0.7831287795528789,0.3434597401585021,-8.15543502152438
57975948,3,6,0.5850607736548692,0.3782199626281462,-77.22553679966224
57975948,4,6,0.5230609246200353,0.36005297941256387,-94.0454571895963
57975948,5,6,0.3946708487876761,0.41834510014897436,-160.99912804804617
57975948,6,6,0.4352131155735068,0.31494536201548107,-111.04547458076989
57975948,7,6,0.5498609671679509,0.18270297120929221,-0.0045268740518509265
57975948,1,7,0.8202564326849365,0.5314013962944449,-25.710881955421847
57975948,2,7,0.6269657545533109,0.49962276515807,-17.257579991093568
57975948,3,7,0.5623071052082163,0.40097363107479916,-86.7967907595741
57975948,4,7,0.5230609246200353,0.36005297941256387,-94.0454571895963
57975948,5,7,0.4156227485326939,0.3973932004039566,-145.27638157052013
57975948,6,7,0.5296458512077193,0.2205126263812685,-54.437397411698704
57975948,7,7,0.5498609671679509,0.18270297120929221,-0.0045268740518509265
57975948,1,8,0.6269657545533109,0.7246920744260705,-47.81659152394106
57975948,2,8,0.5623071052082163,0.5642814145031647,-22.01339114638454
57975948,3,8,0.5230609246200353,0.44021981166298013,-104.61915509544332
57975948,4,8,0.4156227485326939,0.4674911554999053,-158.54472669404564
57975948,5,8,0.5296458512077193,0.2833700977289311,-73.86899500989372
57975948,6,8,0.5498609671679509,0.200297510421037,-44.91397912089577
57975948,7,8,0.5708128669129686,0.18270297120929221,-0.03310923698738644
57975948,1,9,0.5990429343466814,0.7526148946327,-51.57238426732069
57975948,2,9,0.5567409505243172,0.5698475691870638,-22.44981972166404
57975948,3,9,0.5230609246200353,0.44021981166298013,-104.61915509544332
57975948,4,9,0.5047190227340236,0.37839488129857557,-103.87128630013879
57975948,5,9,0.5296458512077193,0.2833700977289311,-73.86899500989372
57975948,6,9,0.5498609671679509,0.200297510421037,-44.91397912089577
57975948,7,9,0.5708128669129686,0.18270297120929221,-0.03310923698738644
