DeviceId,What Hour,Computation Range,Predicted Water Consumtion,Mean Absolout Error,r2_score
57975964,1,3,1.1037767206123588,0.3471568622444563,
57975964,2,3,0.9990212715016848,0.24156424060506043,
57975964,3,3,0.9125106204483735,0.19126610016398526,
57975964,4,3,0.8378475416848887,0.16117372981679612,
57975964,5,3,0.771513905111076,0.14099671533729752,
57975964,6,3,0.7113550156212374,0.12649252606365136,
57975964,7,3,0.3824016896283448,0.38911221548273117,
57975964,1,4,1.0513989960570218,0.39953458679979326,
57975964,2,4,0.9557659459750292,0.2848195661317161,
57975964,3,4,0.8751790810666311,0.22859763954572765,
57975964,4,4,0.8046807233979824,0.1943405481037025,
57975964,5,4,0.7414344603661567,0.17107616008221682,
57975964,6,4,0.5468783526247911,0.2909691890600976,
57975964,7,4,0.40282150879996137,0.3686923963111146,
57975964,1,5,1.0081436705303661,0.44278991232644893,
57975964,2,5,0.9184344065932868,0.3221511055134585,
57975964,3,5,0.8420122627797247,0.261764457832634,
57975964,4,5,0.774601278653063,0.2244199928486218,
57975964,5,5,0.5884235367868861,0.3240870836614874,
57975964,6,5,0.5389993444070534,0.2988481972778353,
57975964,7,5,0.42397325232858746,0.3475406527824885,
57975964,1,6,0.9184344065932868,0.4273251408884934,-16.50820350460411
57975964,2,6,0.8420122627797247,0.3301688535798273,-23.297224340979014
57975964,3,6,0.774601278653063,0.27679771740395875,-27.927480286887658
57975964,4,6,0.5884235367868861,0.3673424091881431,-72.12120435907747
57975964,5,6,0.5389993444070534,0.3361797366595777,-81.09447528555353
57975964,6,6,0.42397325232858746,0.3807074710693949,-131.75744858957617
57975964,7,6,0.5137724490086474,0.2276620113575093,-57.28507773239186
57975964,1,7,0.8852675883063804,0.46049195917539976,-19.17021693370014
57975964,2,7,0.8119328180348054,0.3602482983247466,-27.735490727796332
57975964,3,7,0.6305877121414364,0.4208112839155854,-64.54780801829804
57975964,4,7,0.572127984583059,0.38363796139197015,-78.66181803061244
57975964,5,7,0.5389993444070534,0.3361797366595777,-81.09447528555353
57975964,6,7,0.4933526298370308,0.31132809356095154,-88.11077104081537
57975964,7,7,0.5137724490086474,0.2276620113575093,-57.28507773239186
57975964,1,8,0.8119328180348054,0.5338267294469747,-25.762236125893292
57975964,2,8,0.6305877121414364,0.5415934042181156,-62.68717684206202
57975964,3,8,0.572127984583059,0.4792710114739628,-83.7276820885184
57975964,4,8,0.5389993444070534,0.41676660156797574,-92.83391111531245
57975964,5,8,0.4933526298370308,0.3818264512296003,-104.6116916296274
57975964,6,8,0.5137724490086474,0.290908274389335,-76.93155761946694
57975964,7,8,0.5349241925372734,0.20651026782888326,-47.1350171806967
57975964,1,9,0.6775866172538692,0.668172930227911,-40.36088486730327
57975964,2,9,0.605271896003425,0.566909220356127,-68.68454399568938
57975964,3,9,0.5708113506722132,0.4805876453848086,-84.18834056576767
57975964,4,9,0.5389993444070534,0.41676660156797574,-92.83391111531245
57975964,5,9,0.4933526298370308,0.3818264512296003,-104.6116916296274
57975964,6,9,0.5137724490086474,0.290908274389335,-76.93155761946694
57975964,7,9,0.490228142134868,0.2512063182312887,-69.74635028560799
