DeviceId,What Hour,Computation Range,Predicted Water Consumtion,Mean Absolout Error,r2_score
57975947,1,3,0.9990212715016848,0.10475544911067391,
57975947,2,3,0.9125106204483735,0.5384229624084416,
57975947,3,3,0.8378475416848887,0.16117372981679612,
57975947,4,3,0.771513905111076,0.14099671533729752,
57975947,5,3,0.7113550156212374,0.12649252606365136,
57975947,6,3,0.6559488554645432,0.1155650496465328,
57975947,7,3,0.6043035700457168,0.1070514455755206,
57975947,1,4,0.9557659459750292,0.1480107746373296,
57975947,2,4,0.8751790810666311,0.575754501790184,
57975947,3,4,0.8046807233979824,0.1943405481037025,
57975947,4,4,0.7414344603661567,0.17107616008221682,
57975947,5,4,0.6836519355428903,0.15419560614199845,
57975947,6,4,0.6301262127551299,0.14138769235594606,
57975947,7,4,0.5137724490086474,0.19758256661259,
57975947,1,5,0.9184344065932868,0.18534231401907197,
57975947,2,5,0.8420122627797247,0.6089213200770903,
57975947,3,5,0.774601278653063,0.2244199928486218,
57975947,4,5,0.7137313802878096,0.19877924016056392,
57975947,5,5,0.657829292833477,0.1800182488514117,
57975947,6,5,0.5395950917180605,0.23191881339301545,
57975947,7,5,0.5137724490086474,0.19758256661259,
57975947,1,6,0.8420122627797247,0.4353428889548622,-6.290300491517675
57975947,2,6,0.774601278653063,0.4503761485261869,-3.972852221285873
57975947,3,6,0.7137313802878096,0.2420345656872196,-31.309462871801387
57975947,4,6,0.657829292833477,0.2173497882331541,-33.89742008652592
57975947,5,6,0.5395950917180605,0.26508563167992183,-63.879977460474976
57975947,6,6,0.5137724490086474,0.2276620113575093,-57.28507773239186
57975947,7,6,0.4664130717173511,0.2172388638255392,-61.492044201612536
57975947,1,7,0.8119328180348054,0.4654223336997815,-7.189570082668645
57975947,2,7,0.746898198574716,0.478079228604534,-4.476632008597073
57975947,3,7,0.6879087375783963,0.26785720839663285,-38.34665685112924
57975947,4,7,0.5672981717964076,0.3078809092702235,-68.01641285600003
57975947,5,7,0.5395950917180605,0.26508563167992183,-63.879977460474976
57975947,6,7,0.5137724490086474,0.2276620113575093,-57.28507773239186
57975947,7,7,0.489469160664224,0.19418277487866625,-49.13209591213789
57975947,1,8,0.746898198574716,0.530456953159871,-9.339180636237902
57975947,2,8,0.6879087375783963,0.5370686896008536,-5.649516926670777
57975947,3,8,0.5672981717964076,0.38846777417862155,-80.65491260120784
57975947,4,8,0.5395950917180605,0.3355839893485706,-80.8073133694047
57975947,5,8,0.5137724490086474,0.290908274389335,-76.93155761946694
57975947,6,8,0.489469160664224,0.25196529970193265,-70.16844282836178
57975947,7,8,0.46904934149260746,0.2146025940502828,-60.00864490382386
57975947,1,9,0.7210755558653028,0.5562795958692841,-10.27057464994294
57975947,2,9,0.6020367495679637,0.6229406776112862,-7.600550123946025
57975947,3,9,0.5667137195405484,0.3890522264344808,-80.89778683260859
57975947,4,9,0.5395950917180605,0.3355839893485706,-80.8073133694047
57975947,5,9,0.5137724490086474,0.290908274389335,-76.93155761946694
57975947,6,9,0.46904934149260746,0.2723851188735492,-82.00250593069153
57975947,7,9,0.44924853575546125,0.23440339978742902,-71.59318739096437
