DeviceId,What Hour,Computation Range,Predicted Water Consumtion,Mean Absolout Error,r2_score
57976046,1,3,0.8459862509005415,0.065940603927782,
57976046,2,3,1.456458533937375,0.7361872257321588,
57976046,3,3,1.006319915401374,0.16033366450083253,
57976046,4,3,1.1106012574898538,0.3458572764475212,
57976046,5,3,1.246857124021388,0.24053720862001393,
57976046,6,3,0.4344763317887204,0.6761249257011335,
57976046,7,3,0.47638013127875595,0.770476992742632,
57976046,1,4,1.1512223924189582,0.3711767454461987,
57976046,2,4,1.2313892246693745,0.5111179164641583,
57976046,3,4,1.058460586445614,0.21247433554507256,
57976046,4,4,1.1787291907556208,0.27772934318175424,
57976046,5,4,0.8406667279050541,0.16565318749631985,
57976046,6,4,0.4554282315337382,0.6551730259561157,
57976046,7,4,0.49820426177972055,0.7486528622416674,
57976046,1,5,1.1362549000797635,0.356209253107004,
57976046,2,5,1.2244599022762008,0.5041885940709846,
57976046,3,5,1.126588519711381,0.2806022688108395,
57976046,4,5,0.9276411914117487,0.5288173425256263,
57976046,5,5,0.7065162308776103,0.2998036845237637,
57976046,6,5,0.4772523620347028,0.633348895455151,
57976046,7,5,0.4570372460744714,0.7898198779469165,
57976046,1,6,1.2244599022762008,0.474301424687213,-251.84845357098737
57976046,2,6,1.126588519711381,0.3434597401585021,-29.85642896532979
57976046,3,6,0.9276411914117487,0.30523614151841677,-0.536535743320218
57976046,4,6,0.7065162308776103,0.5248729937917642,-5.4384595050960725
57976046,5,6,0.4772523620347028,0.5812082244109111,-124.25396895125007
57976046,6,6,0.4570372460744714,0.7216919446811495,-112.21561320322431
57976046,7,6,0.5296458512077193,0.4061903961163338,-0.5862998469154543
57976046,1,7,1.2244599022762008,0.474301424687213,-251.84845357098737
57976046,2,7,0.9276411914117487,0.14451241185886987,-5.2856266858476335
57976046,3,7,0.8078779064150248,0.34334448600393347,-1.2652846644011926
57976046,4,7,0.677686951345302,0.5537022733240725,-6.052294565188549
57976046,5,7,0.4570372460744714,0.6014233403711425,-133.04768566378644
57976046,6,7,0.5296458512077193,0.6490833395479015,-90.77170545150722
57976046,7,7,0.5296458512077193,0.4061903961163338,-0.5862998469154543
57976046,1,8,0.9276411914117487,0.17748271382276087,-35.264891470665184
57976046,2,8,0.8078779064150248,0.06285747134766262,-0.15502650332796275
57976046,3,8,0.677686951345302,0.47353544107365625,-2.406761564992842
57976046,4,8,0.4570372460744714,0.7743519785949031,-11.837071436065013
57976046,5,8,0.5296458512077193,0.5288147352378946,-102.86173936366862
57976046,6,8,0.5296458512077193,0.6490833395479015,-90.77170545150722
57976046,7,8,0.5296458512077193,0.4061903961163338,-0.5862998469154543
57976046,1,9,0.832488408661612,0.08232993107262415,-7.588325188664827
57976046,2,9,0.7609155278814397,0.06285747134766262,-0.1248850528685499
57976046,3,9,0.6317767384760408,0.5194456539429175,-2.8960651262076973
57976046,4,9,0.5296458512077193,0.7017433734616552,-9.721294151046042
57976046,5,9,0.5296458512077193,0.5288147352378946,-102.86173936366862
57976046,6,9,0.5296458512077193,0.6490833395479015,-90.77170545150722
57976046,7,9,0.5227975102623369,0.4061903961163338,-0.612403472176297
