DeviceId,What Hour,Computation Range,Predicted Water Consumtion,Mean Absolout Error,r2_score
57976091,1,3,1.1106012574898538,0.3458572764475212,
57976091,2,3,1.006319915401374,0.24053720862001393,
57976091,3,3,0.9202415571646568,0.190359700325197,
57976091,4,3,0.7800456469727595,0.22627426842861453,
57976091,5,3,0.7202713082052162,0.1999702489594406,
57976091,6,3,0.3940460998682576,0.38599954710450185,
57976091,7,3,0.4344763317887204,0.2857949764164958,
57976091,1,4,1.058460586445614,0.397997947491761,
57976091,2,4,0.9632807362830154,0.28357638773837257,
57976091,3,4,0.8501436020687081,0.26045765542114574,
57976091,4,4,0.7501584775889878,0.2561614378123862,
57976091,5,4,0.557158704036737,0.3630828531279199,
57976091,6,4,0.414261215828489,0.36578443114427045,
57976091,7,4,0.4554282315337382,0.26484307667147805,
57976091,1,5,1.0154214073272554,0.4410371266101196,
57976091,2,5,0.8931827811870667,0.3536743428343212,
57976091,3,5,0.8202564326849365,0.2903448248049173,
57976091,4,5,0.5981210183487445,0.40819889705262946,
57976091,5,5,0.549597913287398,0.3706436438772588,
57976091,6,5,0.4352131155735068,0.3448325313992527,
57976091,7,5,0.5498609671679509,0.17041034103726538,
57976091,1,6,0.8931827811870667,0.45847504779231474,-19.13828426202303
57976091,2,6,0.8202564326849365,0.35847275807068435,-27.68610654732492
57976091,3,6,0.5981210183487445,0.4603395680968694,-77.94771336210553
57976091,4,6,0.549597913287398,0.41368282299561737,-92.38618163443063
57976091,5,6,0.4352131155735068,0.41493048649520137,-35.03805521988562
57976091,6,6,0.5498609671679509,0.200297510421037,-44.91397912089577
57976091,7,6,0.5708128669129686,0.1631126041684793,-0.007007371060366863
57976091,1,7,0.8632956118032951,0.4883622171760864,-21.71479359029206
57976091,2,7,0.6647777680018914,0.5139514227537295,-56.91067236734678
57976091,3,7,0.5822098467087385,0.4762507397368754,-83.42920287465323
57976091,4,7,0.549597913287398,0.41368282299561737,-92.38618163443063
57976091,5,7,0.5296458512077193,0.3204977508609888,-20.904475456823295
57976091,6,7,0.5498609671679509,0.200297510421037,-44.91397912089577
57976091,7,7,0.5708128669129686,0.1631126041684793,-0.007007371060366863
57976091,1,8,0.6647777680018914,0.6868800609774901,-42.95694733544769
57976091,2,8,0.5822098467087385,0.5965193440468823,-76.66526382742383
57976091,3,8,0.549597913287398,0.5088626731582159,-95.2462657672977
57976091,4,8,0.5296458512077193,0.4336348850752961,-101.51272057706059
57976091,5,8,0.5498609671679509,0.3002826349007573,-18.350577588385832
57976091,6,8,0.5708128669129686,0.17934561067601923,-36.009072440360335
57976091,7,8,0.5926369974139332,0.1631126041684793,-0.04730972224903551
57976091,1,9,0.6322024089485987,0.7194554200307828,-47.12803902991512
57976091,2,9,0.5810439036227419,0.5976852871328789,-76.96525306468723
57976091,3,9,0.5535098356023439,0.50495075084327,-93.78746821200492
57976091,4,9,0.5296458512077193,0.4336348850752961,-101.51272057706059
57976091,5,9,0.5498609671679509,0.3002826349007573,-18.350577588385832
57976091,6,9,0.5708128669129686,0.17934561067601923,-36.009072440360335
57976091,7,9,0.5444492550508178,0.1631126041684793,-0.006071253985127312
